Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,District,Region
1,AFR::UGA::Busia,29/10/2015,29/10/2015,0,1,0,0.0,29/10/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
2,AFR::UGA::Busia,30/10/2015,30/10/2015,0,1,0,0.0,30/10/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 1 cases",JHU,Busia,Eastern
3,AFR::UGA::Busia,31/10/2015,31/10/2015,0,0,0,0.0,31/10/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
4,AFR::UGA::Busia,01/11/2015,01/11/2015,0,0,0,0.0,01/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
5,AFR::UGA::Busia,02/11/2015,02/11/2015,0,0,0,0.0,02/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 0 cases",JHU,Busia,Eastern
6,AFR::UGA::Busia,03/11/2015,03/11/2015,1,2,0,50.0,03/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 2 cases, 1 deaths",JHU,Busia,Eastern
7,AFR::UGA::Busia,04/11/2015,04/11/2015,0,3,0,0.0,04/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 3 cases",JHU,Busia,Eastern
8,AFR::UGA::Busia,05/11/2015,05/11/2015,0,4,0,0.0,05/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
9,AFR::UGA::Busia,06/11/2015,06/11/2015,0,4,0,0.0,06/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 4 cases",JHU,Busia,Eastern
10,AFR::UGA::Busia,07/11/2015,07/11/2015,0,12,0,0.0,07/11/2015,2,JHU Cholera Database (UID: 4900),0.95,"Converted from JHU database. Primary: False, Phantom: False - JHU reported 12 cases",JHU,Busia,Eastern
